comparison,control,candidate,split,pathway,metric,control_value,candidate_value,delta_candidate_better
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Wound_Healing,ssim,0.6409506861281056,0.6198854182817789,-0.021065267846326674
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Wound_Healing,abs_moran_delta,0.17103190909788019,0.19476463528885746,-0.02373272619097727
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Fibrosis,pcc,0.7165065282658891,0.6986081398753899,-0.017898388390499176
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Fibrosis,ccc,0.6887567540241071,0.6810193060231842,-0.0077374480009229085
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Fibrosis,z_rmse,0.5094892359189371,0.501396786166071,0.00809244975286616
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Fibrosis,ssim,0.702659224467396,0.6695844866408569,-0.033074737826539136
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Fibrosis,abs_moran_delta,0.13357495380824724,0.1543844410389158,-0.020809487230668555
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,MYC_Targets,pcc,0.7700783746705548,0.7467201420198957,-0.023358232650659172
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,MYC_Targets,ccc,0.6386970749400807,0.6400452681905793,0.0013481932504986194
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,MYC_Targets,z_rmse,0.44029294892834,0.43458741354231323,0.00570553538602675
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,MYC_Targets,ssim,0.556076620253742,0.5434871957467593,-0.01258942450698275
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,MYC_Targets,abs_moran_delta,0.06824155722069714,0.09292510529429354,-0.024683548073596406
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,E2F_Targets,pcc,0.6021705511458177,0.583643429666962,-0.018527121478855713
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,E2F_Targets,ccc,0.3926874262871097,0.4403577540403052,0.04767032775319552
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,E2F_Targets,z_rmse,0.8249077451591121,0.7609999777143867,0.06390776744472548
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,E2F_Targets,ssim,0.41114096942410566,0.44113369995714563,0.02999273053303997
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,E2F_Targets,abs_moran_delta,0.15785622263463434,0.1670952007019862,-0.009238978067351855
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,G2M_Checkpoint,pcc,0.6504166735512908,0.6319925660015988,-0.018424107549692037
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,G2M_Checkpoint,ccc,0.370347924731144,0.37367407852275947,0.0033261537916154937
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,G2M_Checkpoint,z_rmse,1.0943834526789462,1.0803700457629106,0.014013406916035587
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,G2M_Checkpoint,ssim,0.42130791189625444,0.4313537754004753,0.010045863504220875
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,G2M_Checkpoint,abs_moran_delta,0.140527021449662,0.15018050369897934,-0.009653482249317336
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Mitotic_Spindle,pcc,0.607067243442523,0.6045856496178127,-0.0024815938247103597
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Mitotic_Spindle,ccc,0.37485758441231715,0.41437208536787495,0.03951450095555781
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Mitotic_Spindle,z_rmse,1.0362971413420752,0.9753211142941062,0.060976027047969006
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Mitotic_Spindle,ssim,0.40873695658242837,0.44459710912918615,0.035860152546757784
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Mitotic_Spindle,abs_moran_delta,0.11145728922014264,0.10339341365179233,0.00806387556835031
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Unfolded_Protein_Response,pcc,0.5706438593985745,0.5739452205017118,0.003301361103137279
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Unfolded_Protein_Response,ccc,0.3857742156345769,0.40869005985125195,0.02291584421667503
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Unfolded_Protein_Response,z_rmse,0.6743601018539248,0.669286784416447,0.005073317437477853
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Unfolded_Protein_Response,ssim,0.3214073761419507,0.2898239976819403,-0.031583378460010414
