experiment,arm,evidence_status,split,comparison_split,metric,mean,median,q1,q3,iqr,min,max,valid_pathways,baseline,fbr_mean,delta_candidate_better,delta_definition
w007_cpgcr,CPGCR,accepted,XZY,external_xzy,z_mae,0.6181831814382087,0.613013688640637,0.42088422482134064,0.7460804031329894,0.32519617831164876,0.18530834963073717,1.1668470484292883,30,w007_fbr,0.6191226720887658,0.0009394906505570955,FBR_mean-candidate_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,XZY,external_xzy,z_rmse,0.7656609435543505,0.7253318822702428,0.5400464104954941,0.9104611065070237,0.37041469601152965,0.3773424326160495,1.4377269251449263,30,w007_fbr,0.7672245654708524,0.001563621916501834,FBR_mean-candidate_mean (positive=candidate_better)
w007_fbr,FBR,accepted,XZY,external_xzy,abs_moran_delta,0.10762428980820607,0.09174926251542642,0.03711875825526974,0.15305802175292166,0.11593926349765192,0.009527284979813144,0.34950420241683566,30,w007_fbr,0.10762428980820607,0.0,FBR_mean-candidate_mean (positive=candidate_better)
w007_fbr,FBR,accepted,XZY,external_xzy,ccc,0.3988582103332689,0.3847409725416536,0.2980295109618367,0.514651683400062,0.21662217243822524,0.06091711776052003,0.7563415015008274,30,w007_fbr,0.3988582103332689,0.0,candidate_mean-FBR_mean (positive=candidate_better)
w007_fbr,FBR,accepted,XZY,external_xzy,nrmse_sigma_train,0.7672245654708524,0.7238223869730366,0.536342610620614,0.9076907061152378,0.3713480954946239,0.3788674078393996,1.4482992430419752,30,w007_fbr,0.7672245654708524,0.0,FBR_mean-candidate_mean (positive=candidate_better)
w007_fbr,FBR,accepted,XZY,external_xzy,pcc,0.519386206636611,0.5601192567127009,0.3915032629891786,0.6366340707050546,0.24513080771587603,0.15060564397132303,0.7854307027829281,30,w007_fbr,0.519386206636611,0.0,candidate_mean-FBR_mean (positive=candidate_better)
w007_fbr,FBR,accepted,XZY,external_xzy,raw_mae,1176.211373424824,1111.0687724923296,859.1078225887286,1354.1110761834834,495.0032535947548,425.56124232780473,2058.5854193035357,30,w007_fbr,1176.211373424824,0.0,FBR_mean-candidate_mean (positive=candidate_better)
w007_fbr,FBR,accepted,XZY,external_xzy,raw_r2,-0.08801664134310691,0.08679702409294748,-0.2759711801027863,0.29090069774768595,0.5668718778504722,-2.6751053732089787,0.6128963259396727,30,w007_fbr,-0.08801664134310691,0.0,candidate_mean-FBR_mean (positive=candidate_better)
w007_fbr,FBR,accepted,XZY,external_xzy,ssim,0.3093753110282321,0.26382121927667324,0.18563271692942007,0.45206579350517184,0.26643307657575177,-0.09819135326511134,0.707291471568408,30,w007_fbr,0.3093753110282321,0.0,candidate_mean-FBR_mean (positive=candidate_better)
w007_fbr,FBR,accepted,XZY,external_xzy,z_mae,0.6191226720887658,0.6125887127316856,0.4197467142324227,0.7421625386146113,0.32241582438218863,0.1926537565142992,1.1779072626121432,30,w007_fbr,0.6191226720887658,0.0,FBR_mean-candidate_mean (positive=candidate_better)
w007_fbr,FBR,accepted,XZY,external_xzy,z_rmse,0.7672245654708524,0.7238223869730366,0.5363426106206141,0.907690706115238,0.371348095494624,0.37886740783939965,1.4482992430419752,30,w007_fbr,0.7672245654708524,0.0,FBR_mean-candidate_mean (positive=candidate_better)
w007_hcr,HCR,accepted,XZY,external_xzy,abs_moran_delta,0.10643514516036014,0.0878679948881518,0.039680575800033355,0.15041186772531248,0.11073129192527913,0.009016736229729316,0.34427960717492023,30,w007_fbr,0.10762428980820607,0.0011891446478459328,FBR_mean-candidate_mean (positive=candidate_better)
w007_hcr,HCR,accepted,XZY,external_xzy,ccc,0.3990296494349824,0.38966070609614895,0.29639636695017063,0.506565614314658,0.21016924736448733,0.06375589413127342,0.7549472792129486,30,w007_fbr,0.3988582103332689,0.00017143910171352195,candidate_mean-FBR_mean (positive=candidate_better)
w007_hcr,HCR,accepted,XZY,external_xzy,nrmse_sigma_train,0.7658811533810843,0.7192313939056945,0.5319737750028727,0.9086116681233947,0.376637893120522,0.3772096529901744,1.4378570039471554,30,w007_fbr,0.7672245654708524,0.0013434120897680701,FBR_mean-candidate_mean (positive=candidate_better)
w007_hcr,HCR,accepted,XZY,external_xzy,pcc,0.5194087881715367,0.5571598163792006,0.38708360729999264,0.636714476951193,0.24963086965120035,0.15461406047152246,0.7861679995737321,30,w007_fbr,0.519386206636611,2.2581534925736335e-05,candidate_mean-FBR_mean (positive=candidate_better)
w007_hcr,HCR,accepted,XZY,external_xzy,raw_mae,1174.5980769301036,1113.5904073642441,858.7663816613596,1349.1551881101943,490.38880644883477,410.53808272004255,2040.7235770029722,30,w007_fbr,1176.211373424824,1.6132964947203163,FBR_mean-candidate_mean (positive=candidate_better)
