pathway,Mode_A1_Pure_OLS_Unconstrained_k,Mode_A1_Pure_OLS_Unconstrained_pcc,Mode_A1_Pure_OLS_Unconstrained_delta_pcc,Mode_A1_Pure_OLS_Unconstrained_pcc_changed,Mode_A2_Positive_OLS_Unconstrained_k,Mode_A2_Positive_OLS_Unconstrained_pcc,Mode_A2_Positive_OLS_Unconstrained_delta_pcc,Mode_A2_Positive_OLS_Unconstrained_pcc_changed,Mode_B_Pathway_Specific_Lambda_k,Mode_B_Pathway_Specific_Lambda_pcc,Mode_B_Pathway_Specific_Lambda_delta_pcc,Mode_B_Pathway_Specific_Lambda_pcc_changed,Mode_C_Lambda_0.0001_k,Mode_C_Lambda_0.0001_pcc,Mode_C_Lambda_0.0001_delta_pcc,Mode_C_Lambda_0.0001_pcc_changed,Mode_C_Lambda_0.01_k,Mode_C_Lambda_0.01_pcc,Mode_C_Lambda_0.01_delta_pcc,Mode_C_Lambda_0.01_pcc_changed,Mode_C_Lambda_0.1_k,Mode_C_Lambda_0.1_pcc,Mode_C_Lambda_0.1_delta_pcc,Mode_C_Lambda_0.1_pcc_changed,Mode_C_Lambda_1.0_k,Mode_C_Lambda_1.0_pcc,Mode_C_Lambda_1.0_delta_pcc,Mode_C_Lambda_1.0_pcc_changed,Mode_C_Lambda_10.0_k,Mode_C_Lambda_10.0_pcc,Mode_C_Lambda_10.0_delta_pcc,Mode_C_Lambda_10.0_pcc_changed
E2F_Targets,1.0252967988172412,0.633888230282198,2.220446049250313e-16,False,1.0252967988172412,0.633888230282198,2.220446049250313e-16,False,1.0019965963468447,0.633888230282198,2.220446049250313e-16,False,1.0252937878196802,0.6338882302821981,3.3306690738754696e-16,False,1.0249992657551927,0.6338882302821981,3.3306690738754696e-16,False,1.0226103433375597,0.6338882302821978,0.0,False,1.0116159472516553,0.633888230282198,2.220446049250313e-16,False,1.0019965963468447,0.633888230282198,2.220446049250313e-16,False
G2M_Checkpoint,1.0126758944477023,0.6742574845520561,-1.1102230246251565e-16,False,1.0126758944477023,0.6742574845520561,-1.1102230246251565e-16,False,1.0009966892272069,0.674257484552056,-2.220446049250313e-16,False,1.0126743816046513,0.6742574845520561,-1.1102230246251565e-16,False,1.0125264054724625,0.6742574845520561,-1.1102230246251565e-16,False,1.0113263880848846,0.6742574845520563,0.0,False,1.0058100995395653,0.6742574845520561,-1.1102230246251565e-16,False,1.0009966892272069,0.674257484552056,-2.220446049250313e-16,False
Mitotic_Spindle,1.030854585730558,0.6354781658498119,-2.220446049250313e-16,False,1.030854585730558,0.6354781658498119,-2.220446049250313e-16,False,1.0024676466185602,0.635478165849812,-1.1102230246251565e-16,False,1.0308509533026984,0.635478165849812,-1.1102230246251565e-16,False,1.0304956215269696,0.635478165849812,-1.1102230246251565e-16,False,1.0276114870984832,0.6354781658498121,0.0,False,1.0142706433362583,0.635478165849812,-1.1102230246251565e-16,False,1.0024676466185602,0.635478165849812,-1.1102230246251565e-16,False
Unfolded_Protein_Response,1.0130690806417895,0.6025634370370726,0.0,False,1.0130690806417895,0.6025634370370726,0.0,False,1.0002743927166269,0.6025634370370726,0.0,False,1.013066171323259,0.6025634370370726,0.0,False,1.012783409067336,0.6025634370370725,-1.1102230246251565e-16,False,1.0106195194602021,0.6025634370370726,0.0,False,1.0033597885836796,0.6025634370370726,0.0,False,1.0002743927166269,0.6025634370370726,0.0,False
mTOR_Signaling,1.0001150175451161,0.6623655704256954,0.0,False,1.0001150175451161,0.6623655704256954,0.0,False,0.9999602105095036,0.6623655704256954,0.0,False,1.0001149259897997,0.6623655704256954,0.0,False,1.000106059637538,0.6623655704256954,0.0,False,1.0000406495432148,0.6623655704256955,1.1102230246251565e-16,False,0.9998885307502489,0.6623655704256954,0.0,False,0.9999602105095036,0.6623655704256954,0.0,False
Interferon_Alpha,0.9857283705739496,0.21723214005805577,0.0,False,0.9857283705739496,0.21723214005805577,0.0,False,0.9989432635868102,0.21723214005805594,1.6653345369377348e-16,False,0.9857301863773488,0.21723214005805577,0.0,False,0.9859076569786024,0.21723214005805586,8.326672684688674e-17,False,0.9873367870593635,0.21723214005805583,5.551115123125783e-17,False,0.9936852433122615,0.2172321400580558,2.7755575615628914e-17,False,0.9989432635868102,0.21723214005805594,1.6653345369377348e-16,False
Angiogenesis,0.9978927782360708,0.6370193712361414,-2.220446049250313e-16,False,0.9978927782360708,0.6370193712361414,-2.220446049250313e-16,False,0.9997875345709922,0.6370193712361415,-1.1102230246251565e-16,False,0.9978929612017925,0.6370193712361412,-4.440892098500626e-16,False,0.9979109254074283,0.6370193712361409,-6.661338147750939e-16,False,0.9980616500868745,0.6370193712361414,-2.220446049250313e-16,False,0.9988806434670786,0.6370193712361413,-3.3306690738754696e-16,False,0.9997875345709922,0.6370193712361415,-1.1102230246251565e-16,False
Apoptosis,0.9572999899905743,0.4252418134504551,0.0,False,0.9572999899905743,0.4252418134504551,0.0,False,0.9838466844154495,0.4252418134504552,1.1102230246251565e-16,False,0.9573067745041289,0.42524181345045514,5.551115123125783e-17,False,0.9579683152612298,0.4252418134504551,0.0,False,0.9631828235072688,0.4252418134504552,1.1102230246251565e-16,False,0.9838466844154495,0.4252418134504552,1.1102230246251565e-16,False,0.9976313824797578,0.4252418134504552,1.1102230246251565e-16,False
TNF_Signaling,0.9664392619325881,0.30415236445966204,0.0,False,0.9664392619325881,0.30415236445966204,0.0,False,0.9979891405589811,0.30415236445966204,0.0,False,0.966444534334492,0.30415236445966204,0.0,False,0.9669584202449043,0.3041523644596621,5.551115123125783e-17,False,0.9709959176999408,0.3041523644596621,5.551115123125783e-17,False,0.9869415861436887,0.30415236445966204,0.0,False,0.9979891405589811,0.30415236445966204,0.0,False
ECM_Organization,1.0212350868144853,0.7352796536234459,0.0,False,1.0212350868144853,0.7352796536234459,0.0,False,1.0017135420005572,0.7352796536234459,0.0,False,1.0212326091944703,0.7352796536234459,0.0,False,1.0209902150480616,0.7352796536234458,-1.1102230246251565e-16,False,1.0190207572178407,0.7352796536234458,-1.1102230246251565e-16,False,1.0098686063774942,0.7352796536234459,0.0,False,1.0017135420005572,0.7352796536234459,0.0,False
