sampling_method,calibration_fraction,repeat,seed,pathway,intercept_z,intercept_raw,baseline_raw_r2,calibrated_raw_r2,delta_raw_r2,baseline_raw_mae,calibrated_raw_mae
spatial_stratified,0.02,103,20260828,IL6_JAK_STAT3,0.317150111709,623.901972141,-0.366045702201,0.206562991452,0.572608693653,1217.79907613,825.124627484
spatial_stratified,0.02,103,20260828,P53_Pathway,0.34071791988,571.364656062,-0.301022190359,0.200498474947,0.501520665306,1212.94929856,874.88343094
spatial_stratified,0.02,103,20260828,DNA_Damage_Response,0.6998390782,1029.11572289,-0.164632900704,0.192674737021,0.357307637725,1076.62996754,834.377173981
spatial_stratified,0.02,103,20260828,Complement,0.770092309852,1345.86214968,-1.71648226041,-0.143529203387,1.57295305702,2056.05337306,1266.73559258
spatial_stratified,0.02,103,20260828,Coagulation,-0.0910685497913,-90.5421674236,0.133220546471,0.108656022482,-0.0245645239884,552.199977451,562.838089729
spatial_stratified,0.02,103,20260828,Oxidative_Phosphorylation,-0.0186746196733,-45.4195528371,0.607112790486,0.602540252066,-0.00457253842015,700.79183394,708.481846856
spatial_stratified,0.02,103,20260828,Reactive_Oxygen_Species,0.549720580113,623.127489517,-0.548204647513,0.0242125488738,0.572417196387,855.874594533,613.776280461
spatial_stratified,0.02,103,20260828,Wound_Healing,0.0677954553671,135.640242478,0.335482805106,0.366826610911,0.0313438058045,810.57059967,788.73589554
spatial_stratified,0.02,103,20260828,Fibrosis,-0.117348104893,-325.705983669,0.508693281888,0.45703756408,-0.051655717808,1083.05224824,1157.07656508
spatial_stratified,0.02,103,20260828,MYC_Targets,0.102263030552,323.530871912,0.388717868731,0.524842140145,0.136124271414,979.497976953,812.282846765
spatial_stratified,0.02,103,20260828,E2F_Targets,0.620335108822,1256.45718316,5.57059876912e-05,0.340682837759,0.340627131771,1223.36028061,917.965347794
spatial_stratified,0.02,103,20260828,G2M_Checkpoint,0.93510241618,2012.82890445,-0.188473862372,0.409489128283,0.597962990655,1893.41564295,1144.18516234
spatial_stratified,0.02,103,20260828,Mitotic_Spindle,0.963371370875,1777.82706666,-0.0913533963057,0.291746618801,0.383100015106,1533.73555922,1081.35085605
spatial_stratified,0.02,103,20260828,Unfolded_Protein_Response,0.108546185706,208.697485344,0.119119105439,0.24617031344,0.127051208001,1009.84630123,901.441243472
spatial_stratified,0.02,103,20260828,mTOR_Signaling,0.17176093374,309.490049538,0.383428539468,0.430084221575,0.0466556821063,733.212512236,684.183440096
spatial_stratified,0.02,103,20260828,Interferon_Alpha,0.874282826891,1626.96853654,-2.71581186318,-0.0917234156357,2.62408844754,1906.45706527,915.590806791
