sampling_method,calibration_fraction,repeat,seed,n_calibration,n_test,baseline_mean_r2,calibrated_mean_r2,delta_mean_r2,baseline_mean_pcc,calibrated_mean_pcc,baseline_mean_ccc,calibrated_mean_ccc,baseline_mean_raw_mae,calibrated_mean_raw_mae,delta_mean_raw_mae
spatial_stratified,0.02,54,20260779,21,1018,-0.0882929476923,0.229005911829,0.317298859521,0.518552456223,0.518552456223,0.398936369713,0.450337885054,1174.27702442,961.33444109,-212.942583328
spatial_stratified,0.02,55,20260780,21,1018,-0.0914758184175,0.233838216584,0.325314035002,0.518856349821,0.518856349821,0.398476237425,0.451480085571,1175.32137198,977.323923089,-197.99744889
spatial_stratified,0.02,56,20260781,21,1018,-0.09383476506,0.230446253006,0.324281018066,0.517645598864,0.517645598864,0.397165708198,0.451457284397,1177.28596946,974.314394527,-202.971574933
spatial_stratified,0.02,57,20260782,21,1018,-0.0940190169325,0.248209593853,0.342228610785,0.517958002144,0.517958002144,0.398121427987,0.455682893871,1174.27768035,964.104017971,-210.173662376
spatial_stratified,0.02,58,20260783,21,1018,-0.0947282363436,0.227686822875,0.322415059218,0.516305399297,0.516305399297,0.39610023462,0.448223652161,1175.69782361,980.983249974,-194.714573638
spatial_stratified,0.02,59,20260784,21,1018,-0.105282428568,0.224699662058,0.329982090626,0.512285155024,0.512285155024,0.392612861338,0.444576509313,1177.60421223,982.673021475,-194.93119075
spatial_stratified,0.02,60,20260785,21,1018,-0.0850285926211,0.227979288547,0.313007881168,0.520635578325,0.520635578325,0.399885574003,0.452236097353,1175.6773885,968.440567914,-207.236820591
spatial_stratified,0.02,61,20260786,21,1018,-0.0931972270436,0.233771774999,0.326969002043,0.515999230942,0.515999230942,0.396660347477,0.44917910883,1175.44810823,978.757978962,-196.690129269
spatial_stratified,0.02,62,20260787,21,1018,-0.0963807650479,0.224561768763,0.320942533811,0.518100577206,0.518100577206,0.397099091931,0.450765460752,1175.50028075,981.381963395,-194.118317358
spatial_stratified,0.02,63,20260788,21,1018,-0.0922345056802,0.228885508868,0.321120014548,0.520718341835,0.520718341835,0.399400549305,0.451028096747,1175.95736452,991.429787127,-184.527577391
spatial_stratified,0.02,64,20260789,21,1018,-0.0863199177972,0.253524672012,0.339844589809,0.521336520695,0.521336520695,0.399312668673,0.457509594448,1175.68553597,951.45248956,-224.233046406
spatial_stratified,0.02,65,20260790,21,1018,-0.0904542580418,0.244202136219,0.334656394261,0.518093206689,0.518093206689,0.397429409425,0.45269883209,1175.40948253,963.284873281,-212.124609252
spatial_stratified,0.02,66,20260791,21,1018,-0.0930544684012,0.193924138759,0.286978607161,0.519473717907,0.519473717907,0.399309983965,0.440305546132,1175.61519444,1002.35668409,-173.258510356
spatial_stratified,0.02,67,20260792,21,1018,-0.089805509313,0.224318762501,0.314124271814,0.520876340064,0.520876340064,0.399767138698,0.448678082517,1174.91789137,985.738576874,-189.179314493
spatial_stratified,0.02,68,20260793,21,1018,-0.0982930606231,0.230515352741,0.328808413364,0.514661574568,0.514661574568,0.394895534459,0.449251190269,1176.50691666,977.98794494,-198.518971724
spatial_stratified,0.02,69,20260794,21,1018,-0.0948557063402,0.242942477986,0.337798184326,0.515404394437,0.515404394437,0.395254183935,0.451647700639,1178.9859416,962.030186299,-216.955755296
spatial_stratified,0.02,70,20260795,21,1018,-0.0914833484307,0.243695951961,0.335179300391,0.518106059312,0.518106059312,0.397395403674,0.453123305972,1177.67277683,973.58798107,-204.084795763
spatial_stratified,0.02,71,20260796,21,1018,-0.0861363121344,0.232515257387,0.318651569522,0.521405087302,0.521405087302,0.400612030079,0.452707224008,1174.19539815,975.508113525,-198.687284624
spatial_stratified,0.02,72,20260797,21,1018,-0.0916354605691,0.245523760563,0.337159221132,0.518884107871,0.518884107871,0.397918630642,0.454425650815,1176.13841931,969.734928014,-206.403491299
spatial_stratified,0.02,73,20260798,21,1018,-0.0829202505837,0.238892997847,0.32181324843,0.520004459181,0.520004459181,0.399587696699,0.451640833516,1175.95595525,959.504058248,-216.451896998
spatial_stratified,0.02,74,20260799,21,1018,-0.0928801232453,0.242115590195,0.33499571344,0.519421012053,0.519421012053,0.398612395992,0.455207650695,1175.9991935,969.460281293,-206.538912205
spatial_stratified,0.02,75,20260800,21,1018,-0.0930708366623,0.227121413562,0.320192250224,0.518180826837,0.518180826837,0.397493391035,0.448733679645,1176.92393065,993.942736469,-182.981194178
spatial_stratified,0.02,76,20260801,21,1018,-0.0830381538336,0.246114620551,0.329152774385,0.520533136946,0.520533136946,0.400590226332,0.456248433742,1175.61638835,965.296224022,-210.32016433
spatial_stratified,0.02,77,20260802,21,1018,-0.0882054190781,0.243119440992,0.331324860071,0.520479549922,0.520479549922,0.399696639003,0.454767489557,1174.79317862,974.990887244,-199.802291377
spatial_stratified,0.02,78,20260803,21,1018,-0.0935841157923,0.238931146424,0.332515262216,0.517465908973,0.517465908973,0.396597985602,0.452698673906,1176.26463112,969.31358638,-206.951044737
spatial_stratified,0.02,79,20260804,21,1018,-0.093490098641,0.206635928011,0.300126026652,0.51835472599,0.51835472599,0.397659281908,0.442687437577,1176.49610971,1000.4071782,-176.088931511
spatial_stratified,0.02,80,20260805,21,1018,-0.0905844877972,0.245708913534,0.336293401331,0.517853374021,0.517853374021,0.397557536749,0.45252939996,1176.53139754,956.524889663,-220.006507878
spatial_stratified,0.02,81,20260806,21,1018,-0.0952489165147,0.229126563248,0.324375479762,0.519379187668,0.519379187668,0.398241672301,0.45251096343,1175.00494193,973.965171962,-201.039769969
spatial_stratified,0.02,82,20260807,21,1018,-0.0885321099447,0.2581082076,0.346640317544,0.520148219569,0.520148219569,0.399550820746,0.458586159879,1175.89505723,953.200013216,-222.695044019
spatial_stratified,0.02,83,20260808,21,1018,-0.0979200166162,0.239282813073,0.337202829689,0.515386136783,0.515386136783,0.394994897964,0.451195267546,1177.73227884,968.579692955,-209.152585884
spatial_stratified,0.02,84,20260809,21,1018,-0.086474737295,0.248913557725,0.33538829502,0.519827818115,0.519827818115,0.399005935388,0.455852202663,1176.38578046,961.085757048,-215.300023412
spatial_stratified,0.02,85,20260810,21,1018,-0.0877762938223,0.232734125345,0.320510419167,0.52139358243,0.52139358243,0.399707105973,0.45149691459,1175.75319122,971.093848381,-204.659342837
spatial_stratified,0.02,86,20260811,21,1018,-0.0927475555117,0.242176102569,0.334923658081,0.519881860497,0.519881860497,0.399371441504,0.455308046405,1175.81698161,970.947020448,-204.869961165
spatial_stratified,0.02,87,20260812,21,1018,-0.0877923666424,0.228673376486,0.316465743128,0.520118827253,0.520118827253,0.399283817393,0.449103026781,1177.12339745,991.595992398,-185.527405054
