analysis_id,analysis_class,evidence_status,arm,split,patient,pathway,n,hh_count,ll_count,hl_count,lh_count,neutral_count,isolated_count,hotspot_definition,computation_status,reason
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,Complement,337,122,83,74,58,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,DNA_Damage_Response,337,85,64,94,94,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,E2F_Targets,337,105,82,76,74,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,ECM_Organization,337,107,99,60,71,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,Fibrosis,337,101,85,81,70,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,G2M_Checkpoint,337,87,82,96,72,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,Glycolysis,337,122,75,65,75,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,IL6_JAK_STAT3,337,91,81,85,80,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,Inflammatory_Response,337,123,85,64,65,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,Interferon_Alpha,337,119,110,58,50,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,MYC_Targets,337,116,84,69,68,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,Mitotic_Spindle,337,109,70,79,79,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,Oxidative_Phosphorylation,337,127,83,67,60,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,LMZ12939,P53_Pathway,337,98,79,84,76,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
