analysis_id,analysis_class,evidence_status,arm,split,pathway,aggregation,n_patients,n_spots,pcc,ccc,z_rmse,raw_r2,spearman,pcc_minus_ccc,pcc_squared_minus_raw_r2,z_mse,bias_squared,scale_mismatch_squared,decorrelation_component,decomposition_sum,decomposition_residual
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,P53_Pathway,patient_balanced_mean,1,1039,0.5585198045310633,0.3029031150835401,0.8608993830330463,-0.31493478660849084,0.322373765947094,0.2556166894475232,0.626879158661908,0.7411477477066797,0.3520870808203328,0.13450191108541526,0.2545587558009317,0.7411477477066797,0.0
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Reactive_Oxygen_Species,patient_balanced_mean,1,1039,0.2768662556182423,0.14565106692825192,0.9078524008763024,-0.5449545706729302,0.16847870789327393,0.13121518868999038,0.621609494172996,0.8241959817768664,0.3105318501046514,0.14667138366346322,0.3669927480087518,0.8241959817768665,-1.1102230246251565e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,TNF_Signaling,patient_balanced_mean,1,1039,0.30350136406710077,0.2059190824339106,0.7542456815142221,-0.2652762578449732,0.27213631681453115,0.09758228163319016,0.3573893358355641,0.5688865480828533,0.1354251364646527,0.09491585186555768,0.3385455597526432,0.5688865480828535,-2.220446049250313e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Unfolded_Protein_Response,patient_balanced_mean,1,1039,0.5951850752019379,0.40184860896185587,0.6668151466616679,0.0695464383502149,0.44036993663315654,0.193336466240082,0.2846988353929215,0.44464243981742163,0.13370554000962792,0.10776354667358862,0.20317335313420495,0.44464243981742146,1.6653345369377348e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,Wound_Healing,patient_balanced_mean,1,1039,0.6349362605883113,0.6076223957571135,0.5118875136686722,0.3339358942868297,0.6439322299591177,0.0273138648311978,0.06920816072303831,0.26202882664989513,0.014858995603698492,0.01386850794042124,0.23330132310577556,0.2620288266498953,-1.6653345369377348e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,emt,patient_balanced_mean,1,1039,0.5942015058510431,0.5402118120940793,0.5146514628902369,0.19376803076858018,0.6043676346796844,0.05398969375696383,0.15930739878706707,0.26486612825506084,0.038814145033141574,0.01352730251149626,0.21252468071042294,0.2648661282550608,5.551115123125783e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,hypoxia,patient_balanced_mean,1,1039,0.35522059847399706,0.3240004037949459,0.5839407113407803,0.03074982879947219,0.2951742855663366,0.031220194679051183,0.09543184478075245,0.3409867543611765,0.0021905059901808892,0.042142638655427576,0.296653609715568,0.3409867543611764,5.551115123125783e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,icp,patient_balanced_mean,1,1039,0.30687236369658694,0.1653936786683857,1.4378570039471554,-0.2889359358244479,0.28437994685692836,0.14147868502820124,0.3831065834251782,2.06743276379989,0.5953323536960106,0.54671197341009,0.9253884366937896,2.06743276379989,0.0
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,ifng,patient_balanced_mean,1,1039,0.15461406047152246,0.1051249558817596,0.8164268944560061,-0.3668252144005346,0.1457179985030241,0.049489104589762856,0.3907307220960262,0.6665528739910787,0.12570568445022956,0.11270890003816891,0.4281382895026803,0.6665528739910788,-1.1102230246251565e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,mTOR_Signaling,patient_balanced_mean,1,1039,0.6616472542469353,0.5911079995459404,0.5116812048739388,0.391341161225653,0.4669028497747474,0.07053925470099487,0.04643592782685563,0.2618176554212457,0.019970013186841083,0.04829444812277151,0.193553194111633,0.2618176554212456,1.1102230246251565e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,mhc,patient_balanced_mean,1,1039,0.49958770793126883,0.42227639874590556,0.3772096529901744,0.22517984016766812,0.32010436218454896,0.07731130918536328,0.024408037748350653,0.14228712230896778,0.003652483637365098,0.03446083534840281,0.10417380332319987,0.14228712230896778,0.0
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,tgfb,patient_balanced_mean,1,1039,0.4387953771775897,0.32363223132498087,0.6159297988347745,0.11487367776987345,0.21253554675781472,0.11516314585260884,0.07766770526254976,0.3793695170926458,0.03246655445773412,0.11474130722107276,0.232161655413839,0.3793695170926459,-5.551115123125783e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,tls,patient_balanced_mean,1,1039,0.6662091656679094,0.48902323877507714,1.065831642862467,0.3902772481445077,0.47767964405481084,0.1771859268928323,0.053557404275424325,1.1359970909269055,0.0027074010062200274,0.5885746440833645,0.5447150458373201,1.1359970909269046,8.881784197001252e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,HCR,XZY,toxic,patient_balanced_mean,1,1039,0.37456266018826223,0.28083788491433326,1.086647422140801,0.1206239336386854,0.3149726623629947,0.09372477527392897,0.019673252768622196,1.1808026200452477,0.01697771005445695,0.3938695869859982,0.7699553230047922,1.1808026200452475,2.220446049250313e-16
