analysis_id,analysis_class,evidence_status,attempt_id,arm,analysis_card_id,task,seed,fold,split,n,n_positive,n_negative,auc,auprc,brier,calibration_intercept,calibration_slope,calibration_status,calibration_reason
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,42,3,test,31,11,20,0.8863636363636365,0.8836857260386672,0.12232271514766499,0.6170786767446171,1.9086676213298583,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,42,3,validation,31,11,20,0.8636363636363636,0.8641456582633054,0.12681708882681086,0.8000748290323262,1.6228320282650106,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,42,4,test,31,11,20,0.8227272727272728,0.8115980192532157,0.14541859942538213,0.1526452394339656,1.1025490721439308,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,42,4,validation,31,11,20,0.8863636363636364,0.8518037518037518,0.1317926588065278,0.7001470965072294,1.926426838051851,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,61,0,test,31,11,20,0.859090909090909,0.8359985973622337,0.13352564505031328,0.3790143651269268,1.4959472915270822,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,61,0,validation,31,11,20,0.7409090909090909,0.7135024724945673,0.18071164418519767,0.4060195139885417,0.9706803990523889,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,61,1,test,31,11,20,0.9227272727272727,0.9069364978455887,0.10804616429757428,-0.18518181633711658,1.7510049017447165,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,61,1,validation,31,11,20,0.9363636363636364,0.8936674436674437,0.11818674880834189,0.20901064085307694,2.020602136555814,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,61,2,test,31,11,20,0.8818181818181818,0.8511173170264079,0.13454521305437425,0.6171695745748779,2.225117724830108,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,61,2,validation,31,11,20,0.8272727272727272,0.8213967405143876,0.14034623751219663,0.3780615301169077,1.6712066038795201,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,61,3,test,31,11,20,0.8954545454545455,0.8617604617604617,0.1306438678925838,0.8455184844960749,2.1728115912824744,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,61,3,validation,31,11,20,0.8681818181818182,0.8516958630594995,0.13094018987022252,0.21437828238686638,1.494135909991748,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,61,4,test,31,11,20,0.5863636363636364,0.42462394507849055,0.23019739858070282,1.548745263504092,5.529034478314715,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A001,ABS,S2-ABS-001,pCR,61,4,validation,31,11,20,0.5136363636363637,0.4460384154395044,0.23137950780736236,-0.9740121240605917,-0.9448792439864333,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,1,0,test,31,15,16,0.9,0.9013730404442479,0.1325152869367766,0.2969519222202139,1.3351485486811299,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,1,0,validation,31,15,16,0.8875000000000001,0.8900821199734242,0.13658595644333435,-0.21229825570271008,1.4734507559253665,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,1,1,test,31,15,16,0.8958333333333334,0.8944667223614591,0.1359817924780506,0.07072476377471858,1.1311843091786795,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,1,1,validation,31,15,16,0.8125,0.8395163549900391,0.17700452655159446,0.08624034299257564,1.281392390927028,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,1,2,test,31,15,16,0.6666666666666666,0.6918518544786294,0.23242386051823039,0.0761599210474635,0.7142271641890683,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,1,2,validation,31,15,16,0.7291666666666667,0.742458369517193,0.21442567495687884,-0.33183836801750816,1.0721880014733889,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,1,3,test,31,15,16,0.8166666666666667,0.7900611262375968,0.2028434780921832,0.51006954692955,0.8821576081182272,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,1,3,validation,31,15,16,0.875,0.9049501223414267,0.12701967526221233,0.010720602057254537,1.3473525054093483,computed,
