pathway,prediction_decile,n_patches,mean_true,mean_prediction,mean_residual_pred_minus_true,mae
Mitotic_Spindle,2,104,2050.846698421694,844.3979545037989,-1206.4487439178952,1926.034330606145
Mitotic_Spindle,3,104,2876.733779586578,1331.6052231067474,-1545.1285564798304,1954.840498871348
Mitotic_Spindle,4,104,3320.675756884983,1712.1246662838635,-1608.5510906011195,1777.1739914668242
Mitotic_Spindle,5,104,3191.8518003919185,1991.9265909915493,-1199.9252094003689,1485.0766174168066
Mitotic_Spindle,6,103,3677.1370841368057,2235.1251505075065,-1442.0119336292998,1565.0946787478517
Mitotic_Spindle,7,104,3864.434960507836,2494.8415202304523,-1369.5934402773835,1508.529261897078
Mitotic_Spindle,8,104,4118.153726888863,2811.0883739625806,-1307.0653529262822,1604.8537869968097
Mitotic_Spindle,9,104,4338.492371168176,3153.6357643173988,-1184.8566068507778,1303.003077890392
Mitotic_Spindle,10,104,4489.480883902699,3695.7027130315732,-793.7781708711261,983.3505496790299
Unfolded_Protein_Response,1,104,3057.2278447600743,2717.941046254256,-339.28679850581864,1650.9492433555808
Unfolded_Protein_Response,2,104,4501.059763366857,3725.5748695693733,-775.4848937974832,1196.3239821565326
Unfolded_Protein_Response,3,104,4792.594933656646,3965.4803082832873,-827.1146253733589,1115.0416631418134
Unfolded_Protein_Response,4,104,4849.30782565228,4104.815831407061,-744.4919942452193,911.4669297408528
Unfolded_Protein_Response,5,104,4826.1967332262375,4255.805019272389,-570.3917139538496,915.7010512621757
Unfolded_Protein_Response,6,103,5095.931181965022,4407.764799593725,-688.1663823712973,940.7124257335627
Unfolded_Protein_Response,7,104,5215.503177840428,4557.758070715607,-657.745107124822,984.7125490995987
Unfolded_Protein_Response,8,104,5314.7742289427015,4704.86113526997,-609.9130936727307,816.1667014541971
Unfolded_Protein_Response,9,104,5397.686788699483,4882.293503969545,-515.3932847299374,821.1239535845557
Unfolded_Protein_Response,10,104,5772.518595622561,5273.439345893387,-499.0792497291728,733.1844536263956
mTOR_Signaling,1,104,1566.5322936847483,1604.7392833602453,38.20698967549679,1048.5289312635068
mTOR_Signaling,2,104,2987.4359891277254,2678.001660161448,-309.4343289662781,1006.6357405300813
mTOR_Signaling,3,104,3680.8625650690406,3104.1297543403803,-576.7328107286601,967.8838937782591
mTOR_Signaling,4,104,3872.1817975637973,3350.3316197855434,-521.8501777782539,782.2574387107603
mTOR_Signaling,5,104,3971.1916222645136,3521.9850884747398,-449.2065337897739,795.971048563415
mTOR_Signaling,6,103,4034.516108401601,3668.7785927359732,-365.7375156656282,614.4397155730206
mTOR_Signaling,7,104,4077.033527440666,3812.2441702904207,-264.78935715024585,615.1259498741782
mTOR_Signaling,8,104,4241.709571295343,3962.8440647042826,-278.86550659106126,504.18679362772957
mTOR_Signaling,9,104,4133.427512597923,4116.367995114066,-17.059517483857217,533.5686718375912
mTOR_Signaling,10,104,4252.654623857813,4399.895555981695,147.24093212388135,480.57438721471533
Interferon_Alpha,1,104,4157.514997949963,1956.8414412922475,-2200.673556657715,2316.716487577978
Interferon_Alpha,2,104,4848.544883779331,2431.0182576656653,-2417.5266261136658,2467.712140862918
Interferon_Alpha,3,104,4558.352123683364,2682.260445612073,-1876.0916780712914,2007.4497052659306
Interferon_Alpha,4,104,4999.231709968084,2901.882646336263,-2097.3490636318206,2126.725958196243
Interferon_Alpha,5,104,4944.518540498104,3054.92484892583,-1889.5936915722743,1998.0694368291247
Interferon_Alpha,6,103,5030.249609858103,3208.2080061818147,-1822.0416036762895,1929.8020947187836
Interferon_Alpha,7,104,5076.888623926139,3347.059891105755,-1729.828732820385,1803.6463672346367
Interferon_Alpha,8,104,5077.8446527568,3529.5215434943852,-1548.323109262414,1660.2700591368416
Interferon_Alpha,9,104,5020.2791960698,3723.607268487909,-1296.67192758189,1447.7921780243014
Interferon_Alpha,10,104,5101.659485185392,4070.858560117275,-1030.800925068118,1288.758097723339
Angiogenesis,1,104,20.165397527655543,9.39531620596098,-10.770081321694564,665.7159601667224
Angiogenesis,2,104,119.18404679530096,467.5016317985859,348.317585003285,787.1362981858609
Angiogenesis,3,104,173.15377000060906,740.6037097391581,567.4499397385491,889.8091997644792
