pathway,internal_true_mean,internal_true_std,internal_pred_mean,internal_pred_std,internal_bias,internal_mse,internal_raw_r2,internal_pcc,internal_ccc,internal_mae,internal_patient_balanced_raw_r2,internal_patient_balanced_pcc,xzy_true_mean,xzy_true_std,xzy_pred_mean,xzy_pred_std,xzy_bias,xzy_error_variance,xzy_bias_squared,xzy_bias_share_of_mse,xzy_mse_identity_abs_error,xzy_mse,xzy_raw_r2,xzy_pcc,xzy_ccc,xzy_mae,xzy_calibrated_raw_r2,ridge_delta_raw_r2,xzy_true_mean_minus_internal_mean,xzy_pred_mean_minus_internal_pred_mean,xzy_true_std_ratio_to_internal,xzy_pred_std_ratio_to_internal,xzy_true_mean_outside_internal_patient_range,xzy_true_std_outside_internal_patient_range,xzy_pred_mean_outside_internal_patient_range,xzy_pred_std_outside_internal_patient_range,trim_1pct_raw_r2,trim_1pct_delta_raw_r2,trim_5pct_raw_r2,trim_5pct_delta_raw_r2
E2F_Targets,1501.573156651123,2085.9209536803046,1564.6683973645038,1721.844037642371,63.09524071338066,1244884.9075055914,0.7138896897610743,0.8457035210475644,0.8299289725429118,843.4613169367341,0.521165868859609,0.7275836542866182,4169.507237614277,1479.665010245729,3241.27222576867,1062.5046961299795,-928.2350118456077,1325188.7135917533,861620.2372160155,0.3940080073742831,4.656612873077393e-10,2186808.9508077684,0.0011873488603014737,0.6338882302821978,0.47683308128025703,1229.8409829246207,0.0011873488603014737,0.0,2667.934080963154,1676.6038284041663,0.7093581411294972,0.6170737145187728,True,False,False,False,0.05136536032657213,0.050178011466270656,0.17774185393754593,0.17655450507724446
G2M_Checkpoint,493.59430427259105,2216.229546685499,514.4267027439023,1818.7374228760802,20.832398471311315,1510002.253012262,0.6925686769187559,0.8323423980402278,0.8162994893976251,900.9608312108516,0.4860438080938813,0.7000631595462842,4021.4473769768715,2004.5554126570012,2412.0638671051424,1277.0985307185604,-1609.3835098717288,2197004.8180716415,2590115.2818470453,0.5410591812582767,1.862645149230957e-09,4787120.099918689,-0.19134676819013885,0.6742574845520563,0.41899216884302687,1899.2600324743275,-0.19134676819013885,0.0,3527.8530727042803,1897.6371643612401,0.9044890749944793,0.7021896149797185,True,False,False,False,-0.14393727116493493,0.04740949702520392,-0.0322143552420211,0.15913241294811775
Mitotic_Spindle,436.8291476047445,1893.666179066832,424.1346877976872,1496.2308915230133,-12.694459807057411,1211304.8123925435,0.6622101488044645,0.8141450127977004,0.7920449506263525,811.569126242826,0.45627329421064733,0.6727756206582747,3247.655163771208,1716.9866332310487,2029.8009301669658,1059.7903432071016,-1217.8542336042426,1758508.2515288019,1483168.934307777,0.45753134852168065,9.313225746154785e-10,3241677.1858365797,-0.09960305101121492,0.6354781658498121,0.4163733089655332,1540.587489113689,-0.09960305101121492,0.0,2810.826016166464,1605.6662423692787,0.9066997405409394,0.7083066852926296,True,False,False,False,-0.04385892797564983,0.055744123035565085,0.06519212674918773,0.16479517776040264
Unfolded_Protein_Response,2636.1934802879264,1967.3878572354445,2708.4523514142525,1596.8098397472816,72.25887112632607,1271724.9926063702,0.6714411020172424,0.820283357925844,0.8020858014922291,855.0225805111622,0.2898972261455656,0.6030770391125118,4882.074475925113,1329.1094750532964,4259.430764142618,717.5491515064883,-622.6437117824951,1132077.6233441376,387685.1918222828,0.2550958530853577,0.0,1519762.8151664203,0.13969131721038708,0.6025634370370726,0.4306072283875472,1008.6035752670011,0.13969131721038708,0.0,2245.8809956371865,1550.9784127283651,0.6755706406163088,0.44936418454188065,False,False,False,True,0.13271638135671227,-0.006974935853674813,0.15527620068324144,0.01558488347285436
mTOR_Signaling,2060.803838548883,1810.1845806521442,2089.8584964015045,1488.3856860630724,29.05465785262112,1042422.1695156768,0.6818749143085912,0.8259214092293412,0.8102238624490812,791.3830843593361,0.4621318449120664,0.6835017391704697,3681.415040873078,1181.7749942621986,3421.694197345465,788.9205332651026,-259.72084352761294,783905.71915418,67454.91656269481,0.07923189507804229,0.0,851360.6357168749,0.3904013826778301,0.6623655704256954,0.5919558915019593,735.0332123827197,0.3904013826778301,0.0,1620.611202324195,1331.8357009439605,0.6528477851890925,0.5300511424238938,False,True,False,True,0.4036729108030672,0.013271528125237131,0.4777618967897722,0.08736051411194212
Interferon_Alpha,3674.8149064836985,1841.0454146670625,3663.588518887254,1522.3777262179121,-11.226387596444287,1143468.531654093,0.6626387370990866,0.8141490930070933,0.7996448538059187,842.3130485488092,0.2731357767284896,0.569508559007061,4881.365224304475,1108.0030040369995,3090.505115065079,607.9839159489916,-1790.860109239397,1304639.1033430723,3207179.9308649446,0.7108396650106154,0.0,4511819.0342080165,-2.6751053783419865,0.21723214005805577,0.06091711904057747,1904.6700871651312,-2.6751053783419865,0.0,1206.5503178207769,-573.0834038221751,0.6018336078023216,0.3993646947656177,False,False,False,True,-2.5833553854005844,0.09174999294140207,-2.3570554270498403,0.3180499512921462
Angiogenesis,1231.1851573096042,1806.4706904065945,1227.0854863145757,1503.4229515680981,-4.099670995028453,1049270.2599302437,0.6784670209594739,0.8237381304417273,0.8100398559212572,775.642551182399,0.5496349579717154,0.7378607395389262,947.6703452061582,1807.4242547146964,1485.3445165117141,1066.279821179742,537.6741713055559,1948382.1341601077,289093.51448911626,0.12920521153543885,0.0,2237475.648649224,0.3150827482024734,0.6370193712361416,0.523213857672304,1218.0562699419245,0.3150827482024734,0.0,-283.51481210344593,258.2590301971384,1.0005278603816634,0.7092347632897265,False,False,False,False,0.34488871359308315,0.029805965390609757,0.3973453802365179,0.08226263203404449
Apoptosis,1278.1327333431263,1554.6096477877134,1226.5307464960517,1290.2442131358387,-51.60198684707443,887459.5960411555,0.6327972942889205,0.7968648061644809,0.782709290516561,720.8557397524133,0.2098096957471259,0.5057933350467599,2577.5142615599434,1020.5542084033057,2294.5995116321005,552.966579463,-282.91474992784225,867347.4896668856,80040.75572673352,0.08448569645644943,0.0,947388.245393619,0.0903887225938309,0.4252418134504551,0.33625779504046155,767.5715575665446,0.0903887225938309,0.0,1299.381528216817,1068.0687651360488,0.6564697510115192,0.42857512851699414,False,False,False,False,0.0982973604648123,0.007908637870981394,0.16831731849795573,0.07792859590412482
TNF_Signaling,218.09336468411124,2181.6521354229567,215.83390151761847,1811.310137812721,-2.25946316649287,1616051.4937959323,0.6604652821649406,0.8128764305897931,0.7990099588719163,990.2227721558972,0.36186579271772734,0.6182870473990546,1868.834596725392,1467.5676056260586,1044.965014986794,782.0294489079121,-823.8695817385983,2067184.9042205783,678761.0877141329,0.24718661244895723,0.0,2745945.991934711,-0.27495764543330403,0.30415236445966204,0.2027068625892137,1355.917856850023,-0.27495764543330403,0.0,1650.7412320412807,829.1311134691755,0.6726863471025097,0.4317479555722386,False,False,False,False,-0.24723599604740776,0.027721649385896274,-0.21534973569009574,0.05960790974320829
ECM_Organization,3286.665416421126,3233.4755361061048,3328.0551142389168,2897.9992121534165,41.38969781779022,1663465.45852533,0.8408983702769094,0.9173368616938133,0.9117781271041155,978.7435072272898,0.7368028018276034,0.8588622220591721,5953.153528344211,2030.9262760109837,6107.590399414582,1598.044682451599,154.4368710703716,1905692.0322464437,23850.747146006583,0.012360828378998883,0.0,1929542.7793924503,0.5321936693862169,0.7352796536234459,0.7121056120538539,1078.2276831469892,0.5321936693862169,0.0,2666.488111923085,2779.535285175665,0.6280939049431361,0.5514303370925142,False,True,False,True,0.5619006687183536,0.02970699933213672,0.6215325092917008,0.08933883990548386
