grid_size_px,cell_x,cell_y,pathway,n_patches,bias,mae,raw_r2
1024,13,8,IL6_JAK_STAT3,13,-1860.9815682560609,1860.9815682560609,-16.25193269875241
1024,13,8,P53_Pathway,13,-1812.8846613215464,1812.8846613215464,-22.17795152478278
1024,13,8,DNA_Damage_Response,13,-962.1400152447087,1003.1519280890354,-2.851595280841559
1024,13,8,Complement,13,-1928.782086743931,2025.5326943869707,-2.182980352441812
1024,13,8,Coagulation,13,-438.5678408603404,553.6103255677169,-1.1439243952839506
1024,13,8,Oxidative_Phosphorylation,13,-595.4177506220001,837.0145765641839,-1.432300235254918
1024,13,8,Reactive_Oxygen_Species,13,-591.0793604984773,627.0330164669006,-4.08555071722898
1024,13,8,Wound_Healing,13,-1013.316992238139,1101.8602034867333,-2.4097857232894637
1024,13,8,Fibrosis,13,-966.5283656957765,1305.1688338929077,-0.347576889178431
1024,13,8,MYC_Targets,13,-1351.750338976759,1351.750338976759,-13.290601067674666
1024,13,8,E2F_Targets,13,-1657.4739738450724,1694.8289922071888,-6.815133091535525
1024,13,8,G2M_Checkpoint,13,-2445.2659696039136,2445.2659696039136,-8.119359886473955
1024,13,8,Mitotic_Spindle,13,-1664.7771172213033,1664.7771172213033,-4.253115142982759
1024,13,8,Unfolded_Protein_Response,13,-1460.0712080928845,1460.0712080928845,-7.3525052083710225
1024,13,8,mTOR_Signaling,13,-263.54779502867166,818.0527089564997,-0.2939132747840858
1024,13,8,Interferon_Alpha,13,-947.2633670074174,1102.4979582475355,-4.947681645651432
1024,13,8,Angiogenesis,13,-272.30325655407955,877.763079709482,0.6998881029147361
1024,13,8,Apoptosis,13,-996.7363150340051,996.7363150340051,-3.548511758683582
1024,13,8,TNF_Signaling,13,-2358.0191241956018,2358.0191241956018,-5.397543238082389
1024,13,8,ECM_Organization,13,-931.8073211118045,1185.9358533805987,-0.33032779622427744
1024,13,9,tls,6,-822.6784548740462,822.6784548740462,-536.5978395820035
1024,13,9,tgfb,6,973.0739390028339,1095.6272522528254,-7.661447120858002
1024,13,9,emt,6,1236.4672846965652,1544.275505055862,-1.7952337272709817
1024,13,9,hypoxia,6,2617.978988951943,2646.385145078285,-3.5959682943097233
1024,13,9,mhc,6,3607.5214530385006,3607.5214530385006,-4264.361255456355
1024,13,9,icp,6,-573.5824955880821,573.5824955880821,-523.1501895030689
1024,13,9,ifng,6,3.3949389873346263,1001.4292489004382,-0.5611550544768709
1024,13,9,toxic,6,-938.8952337696591,938.8952337696591,-843.9568105167382
1024,13,9,Glycolysis,6,1197.39142365905,1245.672989024714,-1.2759360973973135
1024,13,9,Inflammatory_Response,6,1350.1294736210505,1350.1294736210505,-16.07691798557914
1024,13,9,IL6_JAK_STAT3,6,2179.144053249994,2179.144053249994,-85.42136178898092
1024,13,9,P53_Pathway,6,1247.8797409352408,1247.8797409352408,-1267.3579285916571
1024,13,9,DNA_Damage_Response,6,201.76496490037468,323.9381372411485,-2.138752674020293
1024,13,9,Complement,6,37.62077161702772,397.2206440767577,0.1975064879809425
1024,13,9,Coagulation,6,96.02613704140646,591.4954866907746,-0.058938751689544544
1024,13,9,Oxidative_Phosphorylation,6,1744.0668992519284,1744.0668992519284,-49.86920083200814
1024,13,9,Reactive_Oxygen_Species,6,445.4209726802121,838.5773199491568,0.005704704068089428
1024,13,9,Wound_Healing,6,1408.228495240224,1408.228495240224,-2.3776939950198055
1024,13,9,Fibrosis,6,1498.560814782516,1555.3658783484386,-4.088267935472498
1024,13,9,MYC_Targets,6,2175.9275655360098,2175.9275655360098,-3.0593269867333293
1024,13,9,E2F_Targets,6,611.5376630661493,627.4722201834438,-2.1280160187130437
1024,13,9,G2M_Checkpoint,6,688.1442807455502,692.524283063784,-15.998782209230768
1024,13,9,Mitotic_Spindle,6,572.305499500509,769.5529846460619,-3.3131216349213686
